,0,1,2,3,4,5,6,7,8,9,10
32,"Arbok
","
","60
","953
","69
","65
","79
","80
","74,67
","12,66
","448
"
33,"Pikachu
","
","35
","55
","404
","50
","505
","90
","53,33
","19,41
","320
"
34,"Pikachu (inicial)
","
","45
","80
","50
","75
","60
","120
","71,67
","27,33
","430
"
35,"Raichu
","
","60
","90
","55
","90
","80
","1106
","80,83
","20,60
","485
"
36,"Raichu de Alola
","
","60
","85
","50
","95
","85
","110
","80,83
","22,23
","485
"
37,"Sandshrew
","
","50
","75
","85
","20
","30
","40
","50,00
","25,50
","300
"
38,"Sandshrew de Alola
","
","50
","75
","90
","10
","35
","40
","50,00
","28,81
","300
"
39,"Sandslash
","
","75
","100
","110
","45
","55
","65
","75,00
","25,50
","450
"
40,"Sandslash de Alola
","
","75
","100
","120
","25
","65
","65
","75,00
","32,71
","450
"
41,"Nidoran♀
","
","55
","47
","52
","40
","40
","41
","45,83
","6,55
","275
"
42,"Nidorina
","
","70
","62
","67
","55
","55
","56
","60,83
","6,55
","365
"
43,"Nidoqueen
","
","90
","927
","87
","75
","85
","76
","84,17
","7,14
","505
"
44,"Nidoran♂
","
","46
","57
","40
","40
","40
","50
","45,50
","6,98
","273
"
45,"Nidorino
","
","61
","72
","57
","55
","55
","65
","60,83
","6,71
","365
"
46,"Nidoking
","
","81
","1028
","77
","85
","75
","85
","84,17
","9,64
","505
"
47,"Clefairy
","
","70
","45
","48
","60
","65
","35
","53,83
","13,35
","323
"
48,"Clefable
","
","95
","70
","73
","959
","90
","60
","80,50
","14,82
","483
"
49,"Vulpix
","
","38
","41
","40
","50
","65
","65
","49,83
","12,45
","299
"
50,"Vulpix de Alola
","
","38
","41
","40
","50
","65
","65
","49,83
","12,45
","299
"
51,"Ninetales
","
","73
","76
","75
","81
","100
","100
","84,17
","12,54
","505
"
52,"Ninetales de Alola
","
","73
","67
","75
","81
","100
","109
","84,17
","16,62
","505
"
53,"Jigglypuff
","
","115
","45
","20
","45
","25
","20
","45,00
","36,19
","270
"
54,"Wigglytuff
","
","140
","70
","45
","8510
","50
","45
","72,50
","36,71
","435
"
55,"Zubat
","
","40
","45
","35
","30
","40
","55
","40,83
","8,61
","245
"
56,"Golbat
","
","75
","80
","70
","65
","75
","90
","75,83
","8,61
","455
"
57,"Oddish
","
","45
","50
","55
","75
","65
","30
","53,33
","15,71
","320
"
58,"Gloom
","
","60
","65
","70
","85
","75
","40
","65,83
","15,30
","395
"
59,"Vileplume
","
","75
","80
","85
","1106
","90
","50
","81,67
","19,66
","490
"
60,"Paras
","
","35
","70
","55
","45
","55
","25
","47,50
","16,05
","285
"
61,"Parasect
","
","60
","95
","80
","60
","80
","30
","67,50
","22,75
","405
"
62,"Venonat
","
","60
","55
","50
","40
","55
","45
","50,83
","7,36
","305
"
63,"Venomoth
","
","70
","65
","60
","90
","75
","90
","75,00
","12,65
","450
"
64,"Diglett
","
","10
","55
","25
","35
","45
","95
","44,17
","29,40
","265
"
65,"Diglett de Alola
","
","10
","55
","30
","35
","45
","90
","44,17
","27,10
","265
"
66,"Dugtrio
","
","35
","10011
","50
","50
","70
","120
","70,83
","32,93
","425
"
67,"Dugtrio de Alola
","
","35
","100
","60
","50
","70
","110
","70,83
","29,05
","425
"
68,"Meowth
","
","40
","45
","35
","40
","40
","90
","48,33
","20,66
","290
"
69,"Meowth de Alola
","
","40
","35
","35
","50
","40
","90
","48,33
","21,13
","290
"
70,"Meowth de Galar
","
","50
","65
","55
","40
","40
","40
","48,33
","10,33
","290
"
71,"Persian
","
","65
","70
","60
","65
","65
","115
","73,33
","20,66
","440
"
72,"Persian de Alola
","
","65
","60
","60
","75
","65
","115
","73,33
","21,13
","440
"
73,"Psyduck
","
","50
","52
","48
","65
","50
","55
","53,33
","6,19
","320
"
74,"Golduck
","
","80
","82
","78
","95
","80
","85
","83,33
","6,19
","500
"
75,"Mankey
","
","40
","80
","35
","35
","45
","70
","50,83
","19,34
","305
"
76,"Primeape
","
","65
","105
","60
","60
","70
","95
","75,83
","19,34
","455
"
77,"Growlithe
","
","55
","70
","45
","70
","50
","60
","58,33
","10,33
","350
"
78,"Growlithe de Hisui
","
","60
","75
","45
","65
","50
","55
","58,33
","10,80
","350
"
79,"Arcanine
","
","90
","110
","80
","100
","80
","95
","92,50
","11,73
","555
"
80,"Arcanine de Hisui
","
","95
","115
","80
","95
","80
","90
","92,50
","12,94
","555
"
81,"Poliwag
","
","40
","50
","40
","40
","40
","90
","50,00
","20,00
","300
"
82,"Poliwhirl
","
","65
","65
","65
","50
","50
","90
","64,17
","14,63
","385
"
83,"Poliwrath
","
","90
","959
","95
","70
","90
","70
","85,00
","11,83
","510
"
84,"Abra
","
","25
","20
","15
","105
","55
","90
","51,67
","38,43
","310
"
85,"Kadabra
","
","40
","35
","30
","120
","70
","105
","66,67
","38,43
","400
"
86,"Alakazam
","
","55
","50
","45
","135
","959
","120
","83,33
","38,82
","500
"
87,"Mega-Alakazam
","
","55
","50
","65
","175
","10512
","150
","100,00
","52,73
","600
"
88,"Machop
","
","70
","80
","50
","35
","35
","35
","50,83
","19,85
","305
"
89,"Machoke
","
","80
","100
","70
","50
","60
","45
","67,50
","20,43
","405
"
90,"Machamp
","
","90
","130
","80
","65
","85
","55
","84,17
","25,96
","505
"
91,"Bellsprout
","
","50
","75
","35
","70
","30
","40
","50,00
","18,71
","300
"
92,"Weepinbell
","
","65
","90
","50
","85
","45
","55
","65,00
","18,71
","390
"
93,"Victreebel
","
","80
","105
","65
","100
","7013
","70
","81,67
","16,93
","490
"
94,"Tentacool
","
","40
","40
","35
","50
","100
","70
","55,83
","24,98
","335
"
95,"Tentacruel
","
","80
","70
","65
","80
","120
","100
","85,83
","20,60
","515
"
96,"Geodude
","
","40
","80
","100
","30
","30
","20
","50,00
","32,25
","300
"
97,"Geodude de Alola
","
","40
","80
","100
","30
","30
","20
","50,00
","32,25
","300
"
98,"Graveler
","
","55
","95
","115
","45
","45
","35
","65,00
","32,25
","390
"
99,"Graveler de Alola
","
","55
","95
","115
","45
","45
","35
","65,00
","32,25
","390
"
100,"Golem
","
","80
","12014
","130
","55
","65
","45
","82,50
","35,04
","495
"
101,"Golem de Alola
","
","80
","120
","130
","55
","65
","45
","82,50
","35,04
","495
"
102,"Ponyta
","
","50
","85
","55
","65
","65
","90
","68,33
","16,02
","410
"
103,"Ponyta de Galar
","
","50
","85
","55
","65
","65
","90
","68,33
","16,02
","410
"
104,"Rapidash
","
","65
","100
","70
","80
","80
","105
","83,33
","16,02
","500
"
105,"Rapidash de Galar
","
","65
","100
","70
","80
","80
","105
","83,33
","16,02
","500
"
106,"Slowpoke
","
","90
","65
","65
","40
","40
","15
","52,50
","26,22
","315
"
107,"Slowpoke de Galar
","
","90
","65
","65
","40
","40
","15
","52,50
","26,22
","315
"
108,"Slowbro
","
","95
","75
","110
","100
","80
","30
","81,67
","28,40
","490
"
109,"Slowbro de Galar
","
","95
","100
","95
","100
","70
","30
","81,67
","27,69
","490
"
110,"Mega-Slowbro
","
","95
","75
","180
","130
","80
","30
","98,33
","51,45
","590
"
111,"Magnemite
","
","25
","35
","70
","95
","55
","45
","54,17
","25,38
","325
"
112,"Magneton
","
","50
","60
","95
","120
","70
","70
","77,50
","25,64
","465
"
113,"Farfetch'd
","
","52
","9015
","55
","58
","62
","60
","62,83
","13,78
","377
"
114,"Farfetch'd de Galar
","
","52
","95
","55
","58
","62
","55
","62,83
","16,12
","377
"
115,"Doduo
","
","35
","85
","45
","35
","35
","75
","51,67
","22,51
","310
"
116,"Dodrio
","
","60
","110
","70
","60
","60
","11016
","78,33
","24,83
","470
"
117,"Seel
","
","65
","45
","55
","45
","70
","45
","54,17
","11,14
","325
"
118,"Dewgong
","
","90
","70
","80
","70
","95
","70
","79,17
","11,14
","475
"
119,"Grimer
","
","80
","80
","50
","40
","50
","25
","54,17
","22,00
","325
"
120,"Grimer de Alola
","
","80
","80
","50
","40
","50
","25
","54,17
","22,00
","325
"
121,"Muk
","
","105
","105
","75
","65
","100
","50
","83,33
","23,38
","500
"
122,"Muk de Alola
","
","105
","105
","75
","65
","100
","50
","83,33
","23,38
","500
"
123,"Shellder
","
","30
","65
","100
","45
","25
","40
","50,83
","27,82
","305
"
124,"Cloyster
","
","50
","95
","180
","85
","45
","70
","87,50
","49,27
","525
"
125,"Gastly
","
","30
","35
","30
","100
","35
","80
","51,67
","30,44
","310
"
126,"Haunter
","
","45
","50
","45
","115
","55
","95
","67,50
","29,96
","405
"
127,"Gengar
","
","60
","65
","60
","130
","75
","110
","83,33
","29,61
","500
"
128,"Mega-Gengar
","
","60
","65
","80
","170
","95
","130
","100,00
","42,54
","600
"
129,"Onix
","
","35
","45
","160
","30
","45
","70
","64,17
","48,93
","385
"
130,"Drowzee
","
","60
","48
","45
","43
","90
","42
","54,67
","18,50
","328
"
131,"Hypno
","
","85
","73
","70
","73
","115
","67
","80,50
","17,97
","483
"
132,"Krabby
","
","30
","105
","90
","25
","25
","50
","54,17
","35,13
","325
"
133,"Kingler
","
","55
","130
","115
","50
","50
","75
","79,17
","35,13
","475
"
134,"Voltorb
","
","40
","30
","50
","55
","55
","100
","55,00
","24,08
","330
"
135,"Voltorb de Hisui
","
","40
","30
","50
","55
","55
","100
","55,00
","24,08
","330
"
136,"Electrode
","
","60
","50
","70
","80
","80
","15017
","81,67
","35,45
","490
"
137,"Electrode de Hisui
","
","60
","50
","70
","80
","80
","150
","81,67
","35,45
","490
"
138,"Exeggcute
","
","60
","40
","80
","60
","45
","40
","54,17
","15,63
","325
"
139,"Exeggutor
","
","95
","95
","85
","125
","7515
","55
","88,33
","23,38
","530
"
140,"Exeggutor de Alola
","
","95
","105
","85
","125
","75
","45
","88,33
","27,33
","530
"
141,"Cubone
","
","50
","50
","95
","40
","50
","35
","53,33
","21,37
","320
"
142,"Marowak
","
","60
","80
","110
","50
","80
","45
","70,83
","24,17
","425
"
143,"Marowak de Alola
","
","60
","80
","110
","50
","80
","45
","70,83
","24,17
","425
"
144,"Hitmonlee
","
","50
","120
","53
","35
","110
","87
","75,83
","34,93
","455
"
145,"Hitmonchan
","
","50
","105
","79
","35
","110
","76
","75,83
","29,54
","455
"
146,"Lickitung
","
","90
","55
","75
","60
","75
","30
","64,17
","20,84
","385
"
147,"Koffing
","
","40
","65
","95
","60
","45
","35
","56,67
","22,06
","340
"
148,"Weezing
","
","65
","90
","120
","85
","70
","60
","81,67
","22,06
","490
"
149,"Weezing de Galar
","
","65
","90
","120
","85
","70
","60
","81,67
","22,06
","490
"
150,"Rhyhorn
","
","80
","85
","95
","30
","30
","25
","57,50
","32,37
","345
"
151,"Rhydon
","
","105
","130
","120
","45
","45
","40
","80,83
","41,88
","485
"
152,"Chansey
","
","250
","5
","5
","35
","105
","50
","75,00
","93,33
","450
"
153,"Tangela
","
","65
","55
","115
","100
","40
","60
","72,50
","28,77
","435
"
154,"Kangaskhan
","
","105
","95
","80
","40
","80
","90
","81,67
","22,51
","490
"
155,"Mega-Kangaskhan
","
","105
","125
","100
","60
","100
","100
","98,33
","21,13
","590
"
156,"Horsea
","
","30
","40
","70
","70
","25
","60
","49,17
","20,10
","295
"
157,"Seadra
","
","55
","65
","95
","95
","45
","85
","73,33
","21,37
","440
"
158,"Goldeen
","
","45
","67
","60
","35
","50
","63
","53,33
","12,18
","320
"
159,"Seaking
","
","80
","92
","65
","65
","80
","68
","75,00
","10,84
","450
"
160,"Staryu
","
","30
","45
","55
","70
","55
","85
","56,67
","19,15
","340
"
161,"Starmie
","
","60
","75
","85
","100
","85
","115
","86,67
","19,15
","520
"
162,"Mr. Mime
","
","40
","45
","65
","100
","120
","90
","76,67
","31,89
","460
"
163,"Mr. Mime de Galar
","
","50
","65
","65
","90
","90
","100
","76,67
","19,41
","460
"
164,"Scyther
","
","70
","110
","80
","55
","80
","105
","83,33
","20,90
","500
"
165,"Jynx
","
","65
","50
","35
","115
","95
","95
","75,83
","30,73
","455
"
166,"Electabuzz
","
","65
","83
","57
","95
","85
","105
","81,67
","18,01
","490
"
167,"Magmar
","
","65
","95
","57
","100
","85
","93
","82,50
","17,52
","495
"
168,"Pinsir
","
","65
","125
","100
","55
","70
","85
","83,33
","25,82
","500
"
169,"Mega-Pinsir
","
","65
","155
","120
","65
","90
","105
","100,00
","34,64
","600
"
170,"Tauros
","
","75
","100
","95
","40
","70
","110
","81,67
","25,43
","490
"
171,"Tauros de Paldea (variante combatiente)
","
","75
","110
","105
","30
","70
","100
","81,67
","30,11
","490
"
172,"Tauros de Paldea (variante ardiente)
","
","75
","110
","105
","30
","70
","100
","81,67
","30,11
","490
"
173,"Tauros de Paldea (variante acuática)
","
","75
","110
","105
","30
","70
","100
","81,67
","30,11
","490
"
174,"Magikarp
","
","20
","10
","55
","15
","20
","80
","33,33
","27,87
","200
"
175,"Gyarados
","
","95
","125
","79
","60
","100
","81
","90,00
","22,14
","540
"
176,"Mega-Gyarados
","
","95
","155
","109
","70
","130
","81
","106,67
","31,70
","640
"
177,"Lapras
","
","130
","85
","80
","85
","95
","60
","89,17
","23,11
","535
"
178,"Ditto
","
","48
","48
","48
","48
","48
","48
","48,00
","0,00
","288
"
179,"Eevee
","
","55
","55
","50
","45
","65
","55
","54,17
","6,65
","325
"
180,"Eevee (inicial)
","
","65
","75
","60
","65
","85
","75
","70,83
","9,17
","425
"
181,"Vaporeon
","
","130
","65
","60
","110
","95
","65
","87,50
","28,77
","525
"
182,"Jolteon
","
","65
","65
","60
","110
","95
","130
","87,50
","28,77
","525
"
183,"Flareon
","
","65
","130
","60
","95
","110
","65
","87,50
","28,77
","525
"
184,"Porygon
","
","65
","60
","70
","85
","75
","40
","65,83
","15,30
","395
"
185,"Omanyte
","
","35
","40
","100
","90
","55
","35
","59,17
","28,88
","355
"
186,"Omastar
","
","70
","60
","125
","115
","70
","55
","82,50
","29,79
","495
"
187,"Kabuto
","
","30
","80
","90
","55
","45
","55
","59,17
","22,23
","355
"
188,"Kabutops
","
","60
","115
","105
","65
","70
","80
","82,50
","22,53
","495
"
189,"Aerodactyl
","
","80
","105
","65
","60
","75
","130
","85,83
","26,72
","515
"
190,"Mega-Aerodactyl
","
","80
","135
","85
","70
","95
","150
","102,50
","32,37
","615
"
191,"Snorlax
","
","160
","110
","65
","65
","110
","30
","90,00
","45,93
","540
"
192,"Articuno
","
","90
","85
","100
","95
","125
","85
","96,67
","15,06
","580
"
193,"Articuno de Galar
","
","90
","85
","85
","125
","100
","95
","96,67
","15,06
","580
"
194,"Zapdos
","
","90
","90
","85
","125
","90
","100
","96,67
","14,72
","580
"
195,"Zapdos de Galar
","
","90
","125
","90
","85
","90
","100
","96,67
","14,72
","580
"
196,"Moltres
","
","90
","100
","90
","125
","85
","90
","96,67
","14,72
","580
"
197,"Moltres de Galar
","
","90
","85
","90
","100
","125
","90
","96,67
","14,72
","580
"
198,"Dratini
","
","41
","64
","45
","50
","50
","50
","50,00
","7,77
","300
"
199,"Dragonair
","
","61
","84
","65
","70
","70
","70
","70,00
","7,77
","420
"
200,"Dragonite
","
","91
","134
","95
","100
","100
","80
","100,00
","18,23
","600
"
201,"Mewtwo
","
","106
","110
","90
","154
","90
","130
","113,33
","24,84
","680
"
202,"Mega-Mewtwo X
","
","106
","190
","100
","154
","100
","130
","130,00
","36,20
","780
"
203,"Mega-Mewtwo Y
","
","106
","150
","70
","194
","120
","140
","130,00
","42,12
","780
"
204,"Mew
","
","100
","100
","100
","100
","100
","100
","100,00
","0,00
","600
"
205,"Chikorita
","
","45
","49
","65
","49
","65
","45
","53,00
","9,47
","318
"
206,"Bayleef
","
","60
","62
","80
","63
","80
","60
","67,50
","9,75
","405
"
207,"Meganium
","
","80
","82
","100
","83
","100
","80
","87,50
","9,75
","525
"
208,"Cyndaquil
","
","39
","52
","43
","60
","50
","65
","51,50
","9,85
","309
"
209,"Quilava
","
","58
","64
","58
","80
","65
","80
","67,50
","10,11
","405
"
210,"Typhlosion
","
","78
","84
","78
","109
","85
","100
","89,00
","12,68
","534
"
211,"Typhlosion de Hisui
","
","73
","84
","78
","119
","85
","95
","89,00
","16,46
","534
"
212,"Totodile
","
","50
","65
","64
","44
","48
","43
","52,33
","9,77
","314
"
213,"Croconaw
","
","65
","80
","80
","59
","63
","58
","67,50
","10,01
","405
"
214,"Feraligatr
","
","85
","105
","100
","79
","83
","78
","88,33
","11,38
","530
"
215,"Sentret
","
","35
","46
","34
","35
","45
","20
","35,83
","9,41
","215
"
216,"Furret
","
","85
","76
","64
","45
","55
","90
","69,17
","17,57
","415
"
217,"Hoothoot
","
","60
","30
","30
","36
","56
","50
","43,67
","13,35
","262
"
218,"Noctowl
","
","100
","50
","50
","8618
","96
","70
","75,33
","22,19
","452
"
219,"Ledyba
","
","40
","20
","30
","40
","80
","55
","44,17
","21,08
","265
"
220,"Ledian
","
","55
","35
","50
","55
","110
","85
","65,00
","27,39
","390
"
221,"Spinarak
","
","40
","60
","40
","40
","40
","30
","41,67
","9,83
","250
"
222,"Ariados
","
","70
","90
","70
","60
","7019
","40
","66,67
","16,33
","400
"
223,"Crobat
","
","85
","90
","80
","70
","80
","130
","89,17
","21,08
","535
"
224,"Chinchou
","
","75
","38
","38
","56
","56
","67
","55,00
","14,99
","330
"
225,"Lanturn
","
","125
","58
","58
","76
","76
","67
","76,67
","25,01
","460
"
226,"Pichu
","
","20
","40
","15
","35
","35
","60
","34,17
","15,94
","205
"
227,"Cleffa
","
","50
","25
","28
","45
","55
","15
","36,33
","15,90
","218
"
228,"Igglybuff
","
","90
","30
","15
","40
","20
","15
","35,00
","28,64
","210
"
229,"Togepi
","
","35
","20
","65
","40
","65
","20
","40,83
","20,35
","245
"
230,"Togetic
","
","55
","40
","85
","80
","105
","40
","67,50
","26,60
","405
"
231,"Natu
","
","40
","50
","45
","70
","45
","70
","53,33
","13,29
","320
"
232,"Xatu
","
","65
","75
","70
","95
","70
","95
","78,33
","13,29
","470
"
233,"Mareep
","
","55
","40
","40
","65
","45
","35
","46,67
","11,25
","280
"
234,"Flaaffy
","
","70
","55
","55
","80
","60
","45
","60,83
","12,42
","365
"
235,"Ampharos
","
","90
","75
","8510
","115
","90
","55
","85,00
","19,75
","510
"
236,"Mega-Ampharos
","
","90
","95
","105
","165
","110
","45
","101,67
","38,69
","610
"
237,"Bellossom
","
","75
","80
","959
","90
","100
","50
","81,67
","18,07
","490
"
238,"Marill
","
","70
","20
","50
","20
","50
","40
","41,67
","19,41
","250
"
239,"Azumarill
","
","100
","50
","80
","6020
","80
","50
","70,00
","20,00
","420
"
240,"Sudowoodo
","
","70
","100
","115
","30
","65
","30
","68,33
","35,02
","410
"
241,"Politoed
","
","90
","75
","75
","90
","100
","70
","83,33
","11,69
","500
"
242,"Hoppip
","
","35
","35
","40
","35
","55
","50
","41,67
","8,76
","250
"
243,"Skiploom
","
","55
","45
","50
","45
","65
","80
","56,67
","13,66
","340
"
244,"Jumpluff
","
","75
","55
","70
","55
","959
","110
","76,67
","22,06
","460
"
245,"Aipom
","
","55
","70
","55
","40
","55
","85
","60,00
","15,49
","360
"
246,"Sunkern
","
","30
","30
","30
","30
","30
","30
","30,00
","0,00
","180
"
247,"Sunflora
","
","75
","75
","55
","105
","85
","30
","70,83
","25,77
","425
"
248,"Yanma
","
","65
","65
","45
","75
","45
","95
","65,00
","18,97
","390
"
249,"Wooper
","
","55
","45
","45
","25
","25
","15
","35,00
","15,49
","210
"
250,"Wooper de Paldea
","
","55
","45
","45
","25
","25
","15
","35,00
","15,49
","210
"
251,"Quagsire
","
","95
","85
","85
","65
","65
","35
","71,67
","21,60
","430
"
252,"Espeon
","
","65
","65
","60
","130
","95
","110
","87,50
","28,77
","525
"
253,"Umbreon
","
","95
","65
","110
","60
","130
","65
","87,50
","28,77
","525
"
254,"Murkrow
","
","60
","85
","42
","85
","42
","91
","67,50
","22,46
","405
"
255,"Slowking
","
","95
","75
","80
","100
","110
","30
","81,67
","28,40
","490
"
256,"Slowking de Galar
","
","95
","65
","80
","110
","110
","30
","81,67
","30,77
","490
"
257,"Misdreavus
","
","60
","60
","60
","85
","85
","85
","72,50
","13,69
","435
"
258,"Unown
","
","48
","72
","48
","72
","48
","48
","56,00
","12,39
","336
"
259,"Wobbuffet
","
","190
","33
","58
","33
","58
","33
","67,50
","61,25
","405
"
260,"Girafarig
","
","70
","80
","65
","90
","65
","85
","75,83
","10,68
","455
"
261,"Pineco
","
","50
","65
","90
","35
","35
","15
","48,33
","26,39
","290
"
262,"Forretress
","
","75
","90
","140
","60
","60
","40
","77,50
","34,89
","465
"
263,"Dunsparce
","
","100
","70
","70
","65
","65
","45
","69,17
","17,72
","415
"
264,"Gligar
","
","65
","75
","105
","35
","65
","85
","71,67
","23,38
","430
"
265,"Steelix
","
","75
","85
","200
","55
","65
","30
","85,00
","59,41
","510
"
266,"Mega-Steelix
","
","75
","125
","230
","55
","95
","30
","101,67
","70,83
","610
"
267,"Snubbull
","
","60
","80
","50
","40
","40
","30
","50,00
","17,89
","300
"
268,"Granbull
","
","90
","120
","75
","60
","60
","45
","75,00
","26,83
","450
"
269,"Qwilfish
","
","65
","95
","8521
","55
","55
","85
","73,33
","17,22
","440
"
270,"Qwilfish de Hisui
","
","65
","95
","85
","55
","55
","85
","73,33
","17,22
","440
"
271,"Scizor
","
","70
","130
","100
","55
","80
","65
","83,33
","27,51
","500
"
272,"Mega-Scizor
","
","70
","150
","140
","65
","100
","75
","100,00
","37,01
","600
"
273,"Shuckle
","
","20
","10
","230
","10
","230
","5
","84,17
","113,07
","505
"
274,"Heracross
","
","80
","125
","75
","40
","95
","85
","83,33
","27,69
","500
"
275,"Mega-Heracross
","
","80
","185
","115
","40
","105
","75
","100,00
","49,19
","600
"
276,"Sneasel
","
","55
","95
","55
","35
","75
","115
","71,67
","29,44
","430
"
277,"Sneasel de Hisui
","
","55
","95
","55
","35
","75
","115
","71,67
","29,44
","430
"
278,"Teddiursa
","
","60
","80
","50
","50
","50
","40
","55,00
","13,78
","330
"
279,"Ursaring
","
","90
","130
","75
","75
","75
","55
","83,33
","25,43
","500
"
280,"Slugma
","
","40
","40
","40
","70
","40
","20
","41,67
","16,02
","250
"
281,"Magcargo
","
","50
","6022
","120
","9011
","80
","30
","71,67
","31,89
","430
"
282,"Swinub
","
","50
","50
","40
","30
","30
","50
","41,67
","9,83
","250
"
283,"Piloswine
","
","100
","100
","80
","60
","60
","50
","75,00
","21,68
","450
"
284,"Corsola
","
","6523
","55
","953
","65
","953
","35
","68,33
","23,38
","410
"
285,"Corsola de Galar
","
","60
","55
","100
","65
","100
","30
","68,33
","27,33
","410
"
286,"Remoraid
","
","35
","65
","35
","65
","35
","65
","50,00
","16,43
","300
"
287,"Octillery
","
","75
","105
","75
","105
","75
","45
","80,00
","22,58
","480
"
288,"Delibird
","
","45
","55
","45
","65
","45
","75
","55,00
","12,65
","330
"
289,"Mantine
","
","8515
","40
","70
","80
","140
","70
","80,83
","32,93
","485
"
290,"Skarmory
","
","65
","80
","140
","40
","70
","70
","77,50
","33,43
","465
"
291,"Houndour
","
","45
","60
","30
","80
","50
","65
","55,00
","17,32
","330
"
292,"Houndoom
","
","75
","90
","50
","110
","80
","95
","83,33
","20,41
","500
"
293,"Mega-Houndoom
","
","75
","90
","90
","140
","90
","115
","100,00
","23,45
","600
"
294,"Kingdra
","
","75
","95
","95
","95
","95
","85
","90,00
","8,37
","540
"
295,"Phanpy
","
","90
","60
","60
","40
","40
","40
","55,00
","19,75
","330
"
296,"Donphan
","
","90
","120
","120
","60
","60
","50
","83,33
","31,41
","500
"
297,"Porygon2
","
","85
","80
","90
","105
","95
","60
","85,83
","15,30
","515
"
298,"Stantler
","
","73
","95
","62
","85
","65
","85
","77,50
","12,93
","465
"
299,"Smeargle
","
","55
","20
","35
","20
","45
","75
","41,67
","21,37
","250
"
300,"Tyrogue
","
","35
","35
","35
","35
","35
","35
","35,00
","0,00
","210
"
301,"Hitmontop
","
","50
","95
","95
","35
","110
","70
","75,83
","29,23
","455
"
302,"Smoochum
","
","45
","30
","15
","85
","65
","65
","50,83
","25,77
","305
"
303,"Elekid
","
","45
","63
","37
","65
","55
","95
","60,00
","20,19
","360
"
304,"Magby
","
","45
","75
","37
","70
","55
","83
","60,83
","18,05
","365
"
305,"Miltank
","
","95
","80
","105
","40
","70
","100
","81,67
","24,22
","490
"
306,"Blissey
","
","255
","10
","10
","75
","135
","55
","90,00
","93,27
","540
"
307,"Raikou
","
","90
","85
","75
","115
","100
","115
","96,67
","16,33
","580
"
308,"Entei
","
","115
","115
","85
","90
","75
","100
","96,67
","16,33
","580
"
309,"Suicune
","
","100
","75
","115
","90
","115
","85
","96,67
","16,33
","580
"
310,"Larvitar
","
","50
","64
","50
","45
","50
","41
","50,00
","7,77
","300
"
311,"Pupitar
","
","70
","84
","70
","65
","70
","51
","68,33
","10,63
","410
"
